Ligand gene symbol	Receptor gene symbol
FGF2	SDC1
FGF2	SDC2
FGF2	SDC3
FGF2	SDC4
FGF20	FGFR1
FGF20	FGFR2
FGF20	FGFR3
FGF20	FGFR4
FGF21	FGFR4
FGF22	FGFR1
FGF22	FGFR2
FGF22	FGFRL1
FGF23	FGFR1
FGF23	FGFR2
FGF23	FGFR3
FGF23	FGFR4
FGF23	KL
FGF3	FGFR1
FGF3	FGFR2
FGF3	FGFR3
FGF3	FGFR4
FGF3	FGFRL1
FGF4	FGFR1
FGF4	FGFR2
FGF4	FGFR3
FGF4	FGFR4
FGF4	FGFRL1
FGF4	NRP1
FGF5	FGFR1
FGF5	FGFR2
FGF5	FGFR3
FGF5	FGFR4
FGF6	FGFR1
FGF6	FGFR2
FGF6	FGFR3
FGF6	FGFR4
FGF7	FGFR1
FGF7	FGFR2
FGF7	FGFR3
FGF7	NRP1
FGF8	FGFR1
FGF8	FGFR2
FGF8	FGFR3
FGF8	FGFR4
FGF8	FGFRL1
FGF9	FGFR1
FGF9	FGFR2
FGF9	FGFR3
FGF9	FGFR4
FGG	ITGA2B
FGG	ITGA5
FGG	ITGAV
FGG	ITGB1
FGG	ITGB2
FGG	TLR4
FGL1	EGFR
FGL1	LAG3
FLT3LG	FLT3
FN1	CD44
FN1	COL13A1
FN1	ITGA2
FN1	ITGA2B
FN1	ITGA4
FN1	ITGA5
FN1	ITGA8
FN1	ITGA9
FN1	ITGAV
FN1	ITGB1
FN1	ITGB3
FN1	ITGB6
FN1	ITGB7
FN1	ITGB8
FN1	MAG
FN1	NT5E
FN1	PLAUR
FN1	SDC2
FN1	TNFRSF11B
FN1	TSHR
FNDC5	ITGAV
FNDC5	ITGB5
FSHB	FSHR
FSTL1	DIP2A
FZD8	CKAP4
GAL	GALR1
GAL	GALR2
GAL	GALR3
GAL	GPR151
GALP	GALR1
GALP	GALR2
GALP	GALR3
GAS6	AXL
GAS6	MERTK
GAS6	TYRO3
GAST	CCKBR
GCG	GCGR
GCG	GLP1R
GCG	GLP2R
GDF1	ACVR1
GDF1	BMPR1A
GDF1	BMPR2
GDF11	ACVR1B
GDF11	ACVR2A
GDF11	ACVR2B
GDF15	GFRAL
GDF2	ACVR1
GDF2	ACVR2A
GDF2	ACVR2B
GDF2	ACVRL1
GDF2	BMPR2
GDF2	ENG
GDF3	TDGF1
GDF5	ACVR1
GDF5	ACVR2A
GDF5	ACVR2B
GDF5	BMPR1A
GDF5	BMPR1B
GDF5	BMPR2
GDF5	ROR2
GDF6	BMPR1A
GDF6	BMPR1B
GDF6	BMPR2
GDF7	ACVR2A
GDF7	BMPR1A
GDF7	BMPR2
GDF9	ACVR2A
GDF9	BMPR1A
GDF9	BMPR1B
GDF9	BMPR2
GDF9	TGFBR1
GDNF	GFRA1
GDNF	GFRA2
GDNF	RET
GH1	GHR
GH1	PRLR
GH2	GHR
GHRH	GHRHR
GHRH	VIPR1
GHRL	GHSR
GHRL	GPR39
GHRL	MLNR
GIP	DPP4
GIP	GIPR
GLG1	SELE
GNAI2	ADCY1
GNAI2	ADORA1
GNAI2	ADRA2A
GNAI2	ADRA2B
GNAI2	AGTR2
GNAI2	C5AR1
GNAI2	CAV1
GNAI2	CCR5
GNAI2	CNR1
GNAI2	CXCR1
GNAI2	CXCR2
GNAI2	EDNRA
GNAI2	EGFR
GNAI2	F2R
GNAI2	FPR1
GNAI2	IGF1R
GNAI2	LHCGR
GNAI2	LPAR3
GNAI2	MTNR1A
GNAI2	MTNR1B
GNAI2	OPRD1
GNAI2	OPRM1
GNAI2	P2RY12
GNAI2	TBXA2R
GNAI2	TSHR
GNAS	ADRB2
GNAS	AVPR2
GNAS	CRHR1
GNAS	GCGR
GNAS	LHCGR
GNAS	PTGDR
GNAS	TSHR
GNAS	VIPR1
GNRH1	GNRHR
GNRH2	GNRHR
GPC3	CD81
GPC3	IGF1R
GPHA2	TSHR
GPHB5	TSHR
GPI	AMFR
GREM1	KDR
GRN	SORT1
GRN	TNFRSF1A
GRN	TNFRSF1B
GRP	BRS3
GRP	GRPR
GRP	NMBR
GUCA2A	GUCY2C
GUCA2B	GUCY2C
GUCA2B	GUCY2D
GZMB	CHRM3
GZMB	IGF2R
HAS2	CD44
HAS2	HMMR
HAVCR1	CD300LB
HAVCR1	HAVCR1
HBEGF	CD44
HBEGF	CD82
HBEGF	CD9
HBEGF	EGFR
HBEGF	ERBB2
HBEGF	ERBB4
HCRT	HCRTR1
HCRT	HCRTR2
HCRT	NPFFR2
HEBP1	FPR3
HGF	CD44
HGF	MET
HGF	SDC1
HGF	SDC2
HGF	ST14
HHLA2	TMIGD2
HLA-A	APLP2
HLA-A	ERBB2
HLA-A	KIR3DL1
HLA-A	KIR3DL2
HLA-A	LILRB1
HLA-A	LILRB2
HLA-B	CANX
HLA-B	KIR2DL3
HLA-B	KIR3DL1
HLA-B	KIR3DL2
HLA-B	KLRD1
HLA-B	LILRB1
HLA-B	LILRB2
HLA-C	KIR2DL1
HLA-C	KIR2DL3
HLA-C	KIR2DS4
HLA-C	LILRA3
HLA-C	LILRB1
HLA-C	LILRB2
HLA-E	KLRC1
HLA-E	KLRC2
HLA-E	KLRD1
HLA-E	KLRK1
HLA-F	KIR3DL1
HLA-F	KIR3DL2
HLA-F	LILRB1
HLA-F	LILRB2
HLA-G	KIR2DL4
HLA-G	KLRC1
HLA-G	KLRD1
HLA-G	LILRB1
HLA-G	LILRB2
HMGB1	HAVCR2
HMGB1	SDC1
HMGB1	THBD
HP	CD163
HP	ITGAM
HP	ITGB2
HRAS	AGTR1
HRAS	CAV1
HRAS	INSR
HRG	FCGR1A
HSP90AA1	CFTR
HSP90AA1	EGFR
HSP90AA1	FGFR3
HSPG2	COL13A1
HSPG2	ITGA2
HSPG2	ITGB1
HSPG2	PTPRS
IAPP	CALCR
IAPP	RAMP1
IAPP	RAMP2
ICAM1	IL2RA
ICAM1	ITGAL
ICAM1	ITGAM
ICAM1	ITGAX
ICAM1	ITGB2
ICAM1	SPN
ICAM2	ITGAL
ICAM2	ITGAM
ICAM2	ITGB2
ICAM3	CD209
ICAM3	CLEC4M
ICAM3	ITGAD
ICAM3	ITGAL
ICAM3	ITGB2
ICAM4	ITGA2B
ICAM4	ITGA4
ICAM4	ITGAL
ICAM4	ITGAM
ICAM4	ITGAV
ICAM4	ITGB1
ICAM4	ITGB2
ICAM4	ITGB3
ICAM5	ITGAL
ICAM5	ITGB2
ICOSLG	CD28
ICOSLG	CTLA4
ICOS	ICOSLG
ICOSLG	ICOS
IFNA1	IFNAR1
IFNA1	IFNAR2
IFNA10	IFNAR1
IFNA10	IFNAR2
IFNA13	IFNAR1
IFNA13	IFNAR2
IFNA14	IFNAR1
IFNA14	IFNAR2
IFNA16	IFNAR1
IFNA16	IFNAR2
IFNA17	IFNAR1
IFNA17	IFNAR2
IFNA2	IFNAR1
IFNA2	IFNAR2
IFNA21	IFNAR1
IFNA21	IFNAR2
IFNA4	IFNAR1
IFNA4	IFNAR2
IFNA5	IFNAR1
IFNA5	IFNAR2
IFNA6	IFNAR1
IFNA6	IFNAR2
IFNA7	IFNAR1
IFNA7	IFNAR2
IFNA8	IFNAR1
IFNA8	IFNAR2
IFNB1	IFNAR1
IFNB1	IFNAR2
IFNE	IFNAR1
IFNE	IFNAR2
IFNG	IFNGR1
IFNG	IFNGR2
IFNK	IFNAR1
IFNK	IFNAR2
IFNL1	IFNLR1
IFNL1	IL10RB
IFNL2	IFNLR1
IFNL2	IL10RB
IFNL3	IFNLR1
IFNL3	IL10RB
IFNL4	IFNLR1
IFNL4	IL10RB
IFNW1	IFNAR1
IFNW1	IFNAR2
IGF1	IGF1R
IGF2	IGF1R
IGF2	IGF2R
IGF2	INSR
IGFBP4	FZD8
IGFBP4	LRP6
IGFL1	IGFLR1
IGFL2	IGFLR1
IGFL3	IGFLR1
IGSF11	VSIR
IHH	BOC
IHH	CDON
IHH	HHIP
IHH	PTCH1
IHH	PTCH2
IL10	IL10RA
IL10	IL10RB
IL11	IL11RA
IL11	IL6ST
IL12A	IL12RB1
IL12A	IL12RB2
IL12B	IL12RB1
IL12B	IL12RB2
IL12B	IL23R
IL13	IL13RA1
IL13	IL13RA2
IL13	IL2RG
IL13	IL4R
IL15	IL15RA
IL15	IL2RA
IL15	IL2RB
IL15	IL2RG
IL16	CD4
IL16	GRIN2D
IL16	KCNJ10
IL16	KCNJ15
IL17A	IL17RA
IL17A	IL17RC
IL17B	IL17RB
IL17C	IL17RA
IL17C	IL17RE
IL17F	IL17RA
IL18	IL18R1
IL18	IL18RAP
